name,Image,dataCountry,country,continent,office,mandateStart,mandateEnd,headOfStateOrGovernment
Angela Merkel,,Germany,,Europe,Chancellor,22/11/2005,Incumbent,Head of government
Yulia Tymoshenko,,Ukraine,,Europe,Prime Minister,18/12/2007,03/03/2010,Head of government
Zinaida Greceanîi,,Moldova,,Europe,Prime Minister,31/03/2008,14/09/2009,Head of government
Jóhanna Sigurðardóttir,,Iceland,,Europe,Prime Minister,01/02/2009,23/05/2013,Head of government
Jadranka Kosor,,Croatia,,Europe,Prime Minister,06/07/2009,23/12/2011,Head of government
Mari Kiviniemi,,Finland,,Europe,Prime Minister,22/06/2010,22/06/2011,Head of government
Iveta Radičová,,Slovakia,,Europe,Prime Minister,08/07/2010,04/04/2012,Head of government
Helle Thorning-Schmidt,,Denmark,,Europe,Prime Minister,03/10/2011,28/06/2015,Head of government
Alenka Bratušek,,Slovenia,,Europe,Prime Minister,20/03/2013,18/09/2014,Head of government
Sibel Siber,,Northern Cyprus,Cyprus,Europe,Prime Minister,13/06/2013,02/09/2013,Head of government
Tatiana Turanskaya,,Transnistria,Moldova,Europe,Prime Minister,10/06/2013,13/10/2015,Head of government
Erna Solberg,,Norway,,Europe,Prime Minister,16/10/2013,Incumbent,Head of government
Laimdota Straujuma,,Latvia,,Europe,Prime Minister,22/01/2014,11/02/2016,Head of government
Ewa Kopacz,,Poland,,Europe,Prime Minister,22/09/2014,16/11/2015,Head of government
Natalia Gherman,,Moldova,,Europe,Acting Prime Minister,22/06/2015,30/07/2015,Head of government
Vassiliki Thanou,,Greece,,Europe,Acting Prime Minister,27/08/2015,21/09/2015,Head of government
Maya Parnas,,Transnistria,Moldova,Europe,Acting Prime Minister,13/10/2015,30/11/2015,Head of government
Beata Szydło,,Poland,,Europe,Prime Minister,16/11/2015,11/12/2017,Head of government
Tatiana Turanskaya,,Transnistria,Moldova,Europe,Prime Minister,30/11/2015,02/12/2015,Head of government
Maya Parnas,,Transnistria,Moldova,Europe,Acting Prime Minister,02/12/2015,23/12/2015,Head of government
Theresa May,,United Kingdom,,Europe,Prime Minister,13/07/2016,Incumbent,Head of government
Ana Brnabić,,Serbia,,Europe,Prime Minister,29/06/2017,Incumbent,Head of government
Katrín Jakobsdóttir,,Iceland,,Europe,Prime Minister,30/11/2017,Incumbent,Head of government
Viorica Dăncilă,,Romania,,Europe,Prime Minister,29/01/2018,Incumbent,Head of government
